# system name 
# homo_id, lumo_id, homo, lumo, band gap 
# vb_edge_id, cb_edge_id, vb_edge, cb_edge, edge_gap 
# opt_homo_id, opt_lumo_id, opt_homo, opt_lumo, opt_band gap 

Pb92S79I22.lb-0.985-1.025-1.000.cf-1

Pb92S79I22.lb-0.985-1.025-1.000.cf-32
498  499  -4.119  -4.047  0.072 
496  498  -5.276  -4.119  1.158 
496  499  -5.276  -4.047  1.229 

Pb92S79I22.lb-0.985-1.025-1.000.cf-33
498  499  -4.237  -4.165  0.072 
497  498  -5.181  -4.237  0.944 
496  499  -5.363  -4.165  1.198 

Pb92S79I22.lb-0.985-1.025-1.000.cf-34
498  499  -4.610  -4.040  0.570 
497  499  -5.126  -4.040  1.086 
496  499  -5.254  -4.040  1.213 

Pb92S79I22.lb-0.985-1.025-1.000.cf-35
498  499  -4.097  -3.999  0.098 
496  501  -5.302  -3.743  1.559 
496  501  -5.302  -3.743  1.559 

Pb92S79I22.lb-0.985-1.025-1.000.cf-36
498  499  -4.121  -4.040  0.081 
496  497  -5.340  -4.145  1.195 
496  499  -5.340  -4.040  1.300 

Pb92S79I22.lb-0.985-1.025-1.000.cf-37
498  499  -4.158  -4.067  0.091 
496  497  -5.342  -4.205  1.137 
496  499  -5.342  -4.067  1.274 

Pb92S79I22.lb-0.985-1.025-1.000.cf-38
498  499  -4.148  -4.040  0.108 
496  497  -5.356  -4.193  1.163 
496  499  -5.356  -4.040  1.316 

Pb92S79I22.lb-0.985-1.025-1.000.cf-39
498  499  -4.148  -4.010  0.138 
496  497  -5.281  -4.190  1.091 
496  499  -5.281  -4.010  1.271 

Pb92S79I22.lb-0.985-1.025-1.000.cf-40
498  499  -4.626  -3.979  0.647 
496  499  -5.209  -3.979  1.230 
496  499  -5.209  -3.979  1.230 

Pb92S79I22.lb-0.985-1.025-1.000.cf-41
498  499  -5.169  -4.175  0.993 
498  499  -5.169  -4.175  0.993 
496  499  -5.372  -4.175  1.197 

Pb92S79I22.lb-0.985-1.025-1.000.cf-42
498  499  -4.274  -4.118  0.156 
496  497  -5.306  -4.314  0.992 
495  499  -5.363  -4.118  1.245 

Pb92S79I22.lb-0.985-1.025-1.000.cf-43
498  499  -4.124  -3.999  0.125 
496  497  -5.284  -4.184  1.100 
496  499  -5.284  -3.999  1.285 

Pb92S79I22.lb-0.985-1.025-1.000.cf-44
498  499  -4.146  -3.975  0.171 
496  497  -5.148  -4.237  0.911 
495  499  -5.224  -3.975  1.249 

Pb92S79I22.lb-0.985-1.025-1.000.cf-45
498  499  -4.153  -4.033  0.120 
497  498  -5.141  -4.153  0.988 
496  499  -5.281  -4.033  1.248 

Pb92S79I22.lb-0.985-1.025-1.000.cf-46
498  499  -4.106  -4.024  0.082 
496  497  -5.280  -4.177  1.103 
496  499  -5.280  -4.024  1.256 

Pb92S79I22.lb-0.985-1.025-1.000.cf-47
498  499  -4.208  -4.053  0.155 
497  498  -5.138  -4.208  0.930 
495  499  -5.269  -4.053  1.216 

Pb92S79I22.lb-0.985-1.025-1.000.cf-48
498  499  -4.652  -4.009  0.643 
497  499  -5.151  -4.009  1.142 
496  499  -5.224  -4.009  1.215 

Pb92S79I22.lb-0.985-1.025-1.000.cf-49
498  499  -4.058  -3.978  0.080 
496  497  -5.257  -4.164  1.094 
496  499  -5.257  -3.978  1.280 

Pb92S79I22.lb-0.985-1.025-1.000.cf-50
498  499  -4.163  -4.033  0.129 
496  497  -5.353  -4.219  1.134 
496  499  -5.353  -4.033  1.320 

Pb92S79I26.lb-0.985-1.025-1.000.cf-1
512  513  -5.232  -4.388  0.844 
512  513  -5.232  -4.388  0.844 
509  513  -5.570  -4.388  1.181 

Pb92S79I26.lb-0.985-1.025-1.000.cf-2
512  513  -5.449  -4.347  1.102 
512  513  -5.449  -4.347  1.102 
510  513  -5.563  -4.347  1.217 

Pb92S79I26.lb-0.985-1.025-1.000.cf-3
512  513  -5.383  -4.217  1.166 
512  513  -5.383  -4.217  1.166 
510  513  -5.433  -4.217  1.216 

Pb92S79I26.lb-0.985-1.025-1.000.cf-4
512  513  -5.377  -4.149  1.228 
512  513  -5.377  -4.149  1.228 
512  513  -5.377  -4.149  1.228 

Pb92S79I26.lb-0.985-1.025-1.000.cf-5
512  513  -5.455  -4.251  1.204 
512  513  -5.455  -4.251  1.204 
512  513  -5.455  -4.251  1.204 

Pb92S79I26.lb-0.985-1.025-1.000.cf-6
512  513  -5.353  -4.203  1.149 
512  513  -5.353  -4.203  1.149 
511  513  -5.370  -4.203  1.167 

Pb92S79I26.lb-0.985-1.025-1.000.cf-7
512  513  -5.309  -4.175  1.134 
512  513  -5.309  -4.175  1.134 
511  513  -5.359  -4.175  1.184 

Pb92S79I26.lb-0.985-1.025-1.000.cf-8
512  513  -5.282  -4.120  1.162 
512  513  -5.282  -4.120  1.162 
512  513  -5.282  -4.120  1.162 

Pb92S79I26.lb-0.985-1.025-1.000.cf-9
512  513  -5.514  -4.342  1.171 
512  513  -5.514  -4.342  1.171 
512  513  -5.514  -4.342  1.171 

Pb92S79I26.lb-0.985-1.025-1.000.cf-10
512  513  -5.385  -4.256  1.129 
512  513  -5.385  -4.256  1.129 
512  513  -5.385  -4.256  1.129 

Pb92S79I26.lb-0.985-1.025-1.000.cf-11
512  513  -5.332  -4.214  1.118 
512  513  -5.332  -4.214  1.118 
512  513  -5.332  -4.214  1.118 

Pb92S79I26.lb-0.985-1.025-1.000.cf-12
512  513  -5.332  -4.202  1.130 
512  513  -5.332  -4.202  1.130 
512  513  -5.332  -4.202  1.130 

Pb92S79I26.lb-0.985-1.025-1.000.cf-13
512  513  -5.339  -4.394  0.946 
512  513  -5.339  -4.394  0.946 
512  514  -5.339  -4.226  1.113 

Pb92S79I26.lb-0.985-1.025-1.000.cf-14
512  513  -5.408  -4.205  1.204 
512  513  -5.408  -4.205  1.204 
512  513  -5.408  -4.205  1.204 

Pb92S79I26.lb-0.985-1.025-1.000.cf-15
512  513  -5.353  -4.250  1.103 
512  513  -5.353  -4.250  1.103 
512  513  -5.353  -4.250  1.103 

Pb92S79I26.lb-0.985-1.025-1.000.cf-16
512  513  -5.298  -4.256  1.042 
512  513  -5.298  -4.256  1.042 
511  513  -5.326  -4.256  1.069 

Pb92S79I26.lb-0.985-1.025-1.000.cf-17
512  513  -5.427  -4.190  1.236 
512  513  -5.427  -4.190  1.236 
512  513  -5.427  -4.190  1.236 

Pb92S79I26.lb-0.985-1.025-1.000.cf-18
512  513  -5.474  -4.246  1.227 
512  513  -5.474  -4.246  1.227 
512  513  -5.474  -4.246  1.227 

Pb92S79I26.lb-0.985-1.025-1.000.cf-19
512  513  -5.498  -4.279  1.219 
512  513  -5.498  -4.279  1.219 
512  513  -5.498  -4.279  1.219 

Pb92S79I26.lb-0.985-1.025-1.000.cf-20
512  513  -5.423  -4.228  1.195 
512  513  -5.423  -4.228  1.195 
512  513  -5.423  -4.228  1.195 

Pb92S79I26.lb-0.985-1.025-1.000.cf-21
512  513  -5.474  -4.264  1.210 
512  513  -5.474  -4.264  1.210 
511  513  -5.492  -4.264  1.228 

Pb92S79I26.lb-0.985-1.025-1.000.cf-22
512  513  -5.368  -4.282  1.087 
512  513  -5.368  -4.282  1.087 
511  513  -5.404  -4.282  1.122 

Pb92S79I26.lb-0.985-1.025-1.000.cf-23
512  513  -5.313  -4.158  1.155 
512  513  -5.313  -4.158  1.155 
512  513  -5.313  -4.158  1.155 

Pb92S79I26.lb-0.985-1.025-1.000.cf-24
512  513  -5.391  -4.166  1.225 
512  513  -5.391  -4.166  1.225 
512  513  -5.391  -4.166  1.225 

Pb92S79I26.lb-0.985-1.025-1.000.cf-25
512  513  -5.334  -4.094  1.239 
512  513  -5.334  -4.094  1.239 
512  513  -5.334  -4.094  1.239 

Pb92S79I26.lb-0.985-1.025-1.000.cf-26
512  513  -5.314  -4.297  1.017 
512  513  -5.314  -4.297  1.017 
511  514  -5.363  -4.181  1.182 

Pb92S79I26.lb-0.985-1.025-1.000.cf-27
512  513  -5.343  -4.175  1.168 
512  513  -5.343  -4.175  1.168 
512  513  -5.343  -4.175  1.168 

Pb92S79I26.lb-0.985-1.025-1.000.cf-28
512  513  -5.404  -4.275  1.129 
512  513  -5.404  -4.275  1.129 
511  513  -5.414  -4.275  1.139 

Pb92S79I26.lb-0.985-1.025-1.000.cf-29
512  513  -5.462  -4.266  1.196 
512  513  -5.462  -4.266  1.196 
512  513  -5.462  -4.266  1.196 

Pb92S79I26.lb-0.985-1.025-1.000.cf-30
512  513  -5.475  -4.283  1.193 
512  513  -5.475  -4.283  1.193 
512  513  -5.475  -4.283  1.193 

Pb92S79I26.lb-0.985-1.025-1.000.cf-31
512  513  -5.196  -4.206  0.990 
512  513  -5.196  -4.206  0.990 
511  513  -5.323  -4.206  1.117 

Pb92S79I26.lb-0.985-1.025-1.000.cf-32
512  513  -5.418  -4.290  1.127 
512  513  -5.418  -4.290  1.127 
511  513  -5.475  -4.290  1.185 

Pb92S79I26.lb-0.985-1.025-1.000.cf-33
512  513  -5.310  -4.165  1.146 
512  513  -5.310  -4.165  1.146 
512  513  -5.310  -4.165  1.146 

Pb92S79I26.lb-0.985-1.025-1.000.cf-34
512  513  -5.339  -4.217  1.122 
512  513  -5.339  -4.217  1.122 
512  513  -5.339  -4.217  1.122 

Pb92S79I26.lb-0.985-1.025-1.000.cf-35
512  513  -5.434  -4.285  1.149 
512  513  -5.434  -4.285  1.149 
512  513  -5.434  -4.285  1.149 

Pb92S79I26.lb-0.985-1.025-1.000.cf-36
512  513  -5.463  -4.224  1.239 
512  513  -5.463  -4.224  1.239 
512  513  -5.463  -4.224  1.239 

Pb92S79I26.lb-0.985-1.025-1.000.cf-37
512  513  -5.407  -4.235  1.173 
512  513  -5.407  -4.235  1.173 
512  513  -5.407  -4.235  1.173 

Pb92S79I26.lb-0.985-1.025-1.000.cf-38
512  513  -5.301  -4.188  1.113 
512  513  -5.301  -4.188  1.113 
512  513  -5.301  -4.188  1.113 

Pb92S79I26.lb-0.985-1.025-1.000.cf-39
512  513  -5.459  -4.229  1.230 
512  513  -5.459  -4.229  1.230 
512  513  -5.459  -4.229  1.230 

Pb92S79I26.lb-0.985-1.025-1.000.cf-40
512  513  -5.390  -4.253  1.137 
512  513  -5.390  -4.253  1.137 
512  513  -5.390  -4.253  1.137 

Pb92S79I26.lb-0.985-1.025-1.000.cf-41
512  513  -5.291  -4.128  1.163 
512  513  -5.291  -4.128  1.163 
512  513  -5.291  -4.128  1.163 

Pb92S79I26.lb-0.985-1.025-1.000.cf-42
512  513  -5.378  -4.357  1.021 
512  513  -5.378  -4.357  1.021 
511  514  -5.443  -4.228  1.215 

Pb92S79I26.lb-0.985-1.025-1.000.cf-43
512  513  -5.377  -4.211  1.166 
512  513  -5.377  -4.211  1.166 
511  513  -5.421  -4.211  1.209 

Pb92S79I26.lb-0.985-1.025-1.000.cf-44
512  513  -5.320  -4.177  1.144 
512  513  -5.320  -4.177  1.144 
512  513  -5.320  -4.177  1.144 

Pb92S79I26.lb-0.985-1.025-1.000.cf-45
512  513  -5.384  -4.393  0.991 
512  513  -5.384  -4.393  0.991 
508  513  -5.601  -4.393  1.208 

Pb92S79I26.lb-0.985-1.025-1.000.cf-46
512  513  -5.413  -4.359  1.054 
512  513  -5.413  -4.359  1.054 
511  513  -5.452  -4.359  1.093 

Pb92S79I26.lb-0.985-1.025-1.000.cf-47
512  513  -5.318  -4.160  1.158 
512  513  -5.318  -4.160  1.158 
512  513  -5.318  -4.160  1.158 

Pb92S79I26.lb-0.985-1.025-1.000.cf-48
512  513  -5.337  -4.298  1.038 
512  513  -5.337  -4.298  1.038 
512  514  -5.337  -4.156  1.181 

Pb92S79I26.lb-0.985-1.025-1.000.cf-49
512  513  -5.153  -4.187  0.966 
512  513  -5.153  -4.187  0.966 
507  513  -5.468  -4.187  1.281 

Pb92S79I26.lb-0.985-1.025-1.000.cf-50
512  513  -5.328  -4.303  1.025 
512  513  -5.328  -4.303  1.025 
511  513  -5.404  -4.303  1.100 

